station,region
AEROPARQUE AERO,BUENOS AIRES
AZUL AERO,BUENOS AIRES
BAHIA BLANCA AERO,BUENOS AIRES
BARILOCHE AERO,RIO NEGRO
BASE BELGRANO II,ANTARTIDA
BASE CARLINI (EX JUBANY),ANTARTIDA
BASE ESPERANZA,ANTARTIDA        
BASE MARAMBIO,ANTARTIDA
BASE ORCADAS,ANTARTIDA
BASE SAN MARTIN,ANTARTIDA
BENITO JUAREZ AERO,BUENOS AIRES
BERNARDO DE IRIGOYEN AERO,MISIONES
BOLIVAR AERO,BUENOS AIRES
BUENOS AIRES OBSERVATORIO,BUENOS AIRES
CAMPO DE MAYO AERO,BUENOS AIRES
CATAMARCA AERO,CATAMARCA
CERES AERO,SANTA FE
CHAMICAL AERO,LA RIOJA
CHAPELCO AERO,NEUQUEN
CHEPES,LA RIOJA
CHILECITO AERO,LA RIOJA
CIPOLLETTI,RIO NEGRO
COMODORO RIVADAVIA AERO,CHUBUT
CONCORDIA AERO,ENTRE RIOS
CORDOBA AERO,CORDOBA
CORDOBA OBSERVATORIO,CORDOBA
CORONEL PRINGLES AERO,BUENOS AIRES
CORONEL SUAREZ AERO,BUENOS AIRES
CORRIENTES AERO,CORRIENTES
DOLORES AERO,BUENOS AIRES
EL BOLSON AERO,RIO NEGRO
EL CALAFATE AERO,SANTA CRUZ
EL PALOMAR AERO,BUENOS AIRES
EL TREBOL,SANTA FE
ESCUELA DE AVIACION MILITAR AERO,CORDOBA
ESQUEL AERO,CHUBUT
EZEIZA AERO,BUENOS AIRES
FORMOSA AERO,FORMOSA
GENERAL PICO AERO,LA PAMPA
GOBERNADOR GREGORES AERO,SANTA CRUZ
GUALEGUAYCHU AERO,ENTRE RIOS
IGUAZU AERO,MISIONES
ITUZAINGO,CORRIENTES
JACHAL,SAN JUAN
JUJUY AERO,JUJUY
JUJUY U N,JUJUY
JUNIN AERO,BUENOS AIRES
LA PLATA AERO,BUENOS AIRES
LA QUIACA OBSERVATORIO,JUJUY
LA RIOJA AERO,LA RIOJA
LABOULAYE AERO,CORDOBA
LAS FLORES,BUENOS AIRES
LAS LOMITAS,FORMOSA
MALARGUE AERO,MENDOZA
MAQUINCHAO,RIO NEGRO
MAR DEL PLATA AERO,BUENOS AIRES
MARCOS JUAREZ AERO,CORDOBA
MARIANO MORENO AERO,BUENOS AIRES
MENDOZA AERO,MENDOZA
MENDOZA OBSERVATORIO,MENDOZA
MERCEDES AERO (CTES),CORRIENTES
MERLO AERO,BUENOS AIRES
METAN,SALTA
MONTE CASEROS AERO,CORRIENTES
MORON AERO,BUENOS AIRES
NEUQUEN AERO,NEUQUEN
NUEVE DE JULIO,BUENOS AIRES
OBERA,MISIONES
OLAVARRIA AERO,BUENOS AIRES
ORAN AERO,SALTA
PARANA AERO,ENTRE RIOS
PASO DE INDIOS,CHUBUT
PASO DE LOS LIBRES AERO,CORRIENTES
PEHUAJO AERO,BUENOS AIRES
PERITO MORENO AERO,SANTA CRUZ
PIGUE AERO,BUENOS AIRES
PILAR OBSERVATORIO,CORDOBA
POSADAS AERO,MISIONES
PRESIDENCIA ROQUE SAENZ PEÃ‘A AERO,CHACO
PUERTO DESEADO AERO,SANTA CRUZ
PUERTO MADRYN AERO,CHUBUT
PUNTA INDIO B.A.,BUENOS AIRES
RAFAELA AERO,SANTA FE
RECONQUISTA AERO,SANTA FE
RESISTENCIA AERO,CHACO
RIO COLORADO,RIO NEGRO
RIO CUARTO AERO,CORDOBA
RIO GALLEGOS AERO,SANTA CRUZ
RIO GRANDE B.A.,TIERRA DEL FUEGO
RIVADAVIA,SALTA
ROSARIO AERO,SANTA FE
SALTA AERO,SALTA
SAN ANTONIO OESTE AERO,RIO NEGRO
SAN CARLOS (MZA),MENDOZA
SAN FERNANDO AERO,BUENOS AIRES
SAN JUAN AERO,SAN JUAN
SAN JULIAN AERO,SANTA CRUZ
SAN LUIS AERO,SAN LUIS
SAN MARTIN (MZA),MENDOZA
SAN RAFAEL AERO,MENDOZA
SANTA CRUZ AERO,SANTA CRUZ
SANTA ROSA AERO,LA PAMPA
SANTA ROSA DE CONLARA AERO,SAN LUIS
SANTIAGO DEL ESTERO AERO,SANTIAGO DEL ESTERO
SAUCE VIEJO AERO,SANTA FE
SUNCHALES AERO,SANTA FE
TANDIL AERO,BUENOS AIRES
TARTAGAL AERO,SALTA
TERMAS DE RIO HONDO AERO,SANTIAGO DEL ESTERO
TINOGASTA,CATAMARCA
TRELEW AERO,CHUBUT
TRENQUE LAUQUEN,BUENOS AIRES
TRES ARROYOS,BUENOS AIRES
TUCUMAN AERO,TUCUMAN
USHUAIA AERO,TIERRA DEL FUEGO
USPALLATA,MENDOZA
VENADO TUERTO AERO,SANTA FE
VICTORICA,LA PAMPA
VIEDMA AERO,RIO NEGRO
VILLA DE MARIA DEL RIO SECO,CORDOBA
VILLA DOLORES AERO,CORDOBA
VILLA GESELL AERO,BUENOS AIRES
VILLA REYNOLDS AERO,SAN LUIS
