station_raw,station
28,
},
AEROPARQUE AERO,AEROPARQUE AERO
AZUL AERO,AZUL AERO
BAHIA BLANCA AERO,BAHIA BLANCA AERO
BARILOCHE AERO,BARILOCHE AERO
BASE BELGRANO II,BASE BELGRANO II
BASE CARLINI (EX JUBANY),BASE CARLINI (EX JUBANY)
BASE ESPERANZA,BASE ESPERANZA
BASE MARAMBIO,BASE MARAMBIO
BASE ORCADAS,BASE ORCADAS
BASE SAN MARTIN,BASE SAN MARTIN
BENITO JUAREZ AERO,BENITO JUAREZ AERO
BERNARDO DE IRIGOYEN AERO,BERNARDO DE IRIGOYEN AERO
BOLIVAR AERO,BOLIVAR AERO
BUENOS AIRES,BUENOS AIRES OBSERVATORIO
BUENOS AIRES OBSERVATORIO,BUENOS AIRES OBSERVATORIO
CAMPO DE MAYO AERO,CAMPO DE MAYO AERO
CATAMARCA AERO,CATAMARCA AERO
CERES AERO,CERES AERO
CHAMICAL AERO,CHAMICAL AERO
CHAPELCO AERO,CHAPELCO AERO
CHEPES,CHEPES
CHILECITO AERO,CHILECITO AERO
CIPOLLETTI,CIPOLLETTI
COMODORO RIVADAVIA AERO,COMODORO RIVADAVIA AERO
CONCORDIA AERO,CONCORDIA AERO
CORDOBA AERO,CORDOBA AERO
CORDOBA OBSERVATORIO,CORDOBA OBSERVATORIO
CORONEL PRINGLES AERO,CORONEL PRINGLES AERO
CORONEL SUAREZ AERO,CORONEL SUAREZ AERO
CORRIENTES AERO,CORRIENTES AERO
DOLORES AERO,DOLORES AERO
EL BOLSON AERO,EL BOLSON AERO
EL CALAFATE AERO,EL CALAFATE AERO
EL PALOMAR AERO,EL PALOMAR AERO
EL TREBOL,EL TREBOL
ESC.AVIACION MILITAR AERO,ESCUELA DE AVIACION MILITAR AERO
ESCUELA DE AVIACION MILITA,ESCUELA DE AVIACION MILITAR AERO
ESQUEL AERO,ESQUEL AERO
EZEIZA AERO,EZEIZA AERO
FORMOSA AERO,FORMOSA AERO
GENERAL PICO AERO,GENERAL PICO AERO
GOBERNADOR GREGORES AERO,GOBERNADOR GREGORES AERO
GUALEGUAYCHU AERO,GUALEGUAYCHU AERO
IGUAZU AERO,IGUAZU AERO
ITUZAINGO,ITUZAINGO
JACHAL,JACHAL
JUJUY AERO,JUJUY AERO
JUJUY U N,JUJUY U N
JUNIN AERO,JUNIN AERO
LA PLATA AERO,LA PLATA AERO
LA QUIACA OBS.,LA QUIACA OBSERVATORIO
LA QUIACA OBSERVATORIO,LA QUIACA OBSERVATORIO
LA RIOJA AERO,LA RIOJA AERO
LABOULAYE AERO,LABOULAYE AERO
LAS FLORES,LAS FLORES
LAS FLORES AERO,LAS FLORES
LAS LOMITAS,LAS LOMITAS
MALARGUE AERO,MALARGUE AERO
MAQUINCHAO,MAQUINCHAO
MAR DEL PLATA AERO,MAR DEL PLATA AERO
MARCOS JUAREZ AERO,MARCOS JUAREZ AERO
MARIANO MORENO AERO,MARIANO MORENO AERO
MENDOZA AERO,MENDOZA AERO
MENDOZA OBSERVATORIO,MENDOZA OBSERVATORIO
MERCEDES AERO (CTES),MERCEDES AERO (CTES)
MERLO AERO,MERLO AERO
METAN,METAN
MONTE CASEROS AERO,MONTE CASEROS AERO
MORON AERO,MORON AERO
NEUQUEN AERO,NEUQUEN AERO
NUEVE DE JULIO,NUEVE DE JULIO
OBERA,OBERA
OBERA AERO,OBERA
OLAVARRIA AERO,OLAVARRIA AERO
ORAN AERO,ORAN AERO
PARANA AERO,PARANA AERO
PASO DE INDIOS,PASO DE INDIOS
PASO DE LOS LIBRES AERO,PASO DE LOS LIBRES AERO
PCIA. ROQUE SAENZ PEÑA AER,PRESIDENCIA ROQUE SAENZ PEÑA AERO
PEHUAJO AERO,PEHUAJO AERO
PERITO MORENO AERO,PERITO MORENO AERO
PIGUE AERO,PIGUE AERO
PILAR OBS.,PILAR OBSERVATORIO
PILAR OBSERVATORIO,PILAR OBSERVATORIO
POSADAS AERO,POSADAS AERO
PRESIDENCIA ROQUE SAENZ PE,PRESIDENCIA ROQUE SAENZ PEÑA AERO
PUERTO DESEADO AERO,PUERTO DESEADO AERO
PUERTO MADRYN AERO,PUERTO MADRYN AERO
PUNTA INDIO B.A.,PUNTA INDIO B.A.
RAFAELA AERO,RAFAELA AERO
RECONQUISTA AERO,RECONQUISTA AERO
RESISTENCIA AERO,RESISTENCIA AERO
RIO COLORADO,RIO COLORADO
RIO CUARTO AERO,RIO CUARTO AERO
RIO GALLEGOS AERO,RIO GALLEGOS AERO
RIO GRANDE B.A.,RIO GRANDE B.A.
RIVADAVIA,RIVADAVIA
ROSARIO AERO,ROSARIO AERO
SALTA AERO,SALTA AERO
SAN ANTONIO OESTE AERO,SAN ANTONIO OESTE AERO
SAN CARLOS (MZA),SAN CARLOS (MZA)
SAN FERNANDO,SAN FERNANDO AERO
SAN FERNANDO AERO,SAN FERNANDO AERO
SAN JUAN AERO,SAN JUAN AERO
SAN JULIAN AERO,SAN JULIAN AERO
SAN LUIS AERO,SAN LUIS AERO
SAN MARTIN (MZA),SAN MARTIN (MZA)
SAN RAFAEL AERO,SAN RAFAEL AERO
SANTA CRUZ AERO,SANTA CRUZ AERO
SANTA ROSA AERO,SANTA ROSA AERO
SANTA ROSA DE CONLARA AERO,SANTA ROSA DE CONLARA AERO
SANTIAGO DEL ESTERO AERO,SANTIAGO DEL ESTERO AERO
SAUCE VIEJO AERO,SAUCE VIEJO AERO
SUNCHALES AERO,SUNCHALES AERO
TANDIL AERO,TANDIL AERO
TARTAGAL AERO,TARTAGAL AERO
TERMAS DE RIO HONDO AERO,TERMAS DE RIO HONDO AERO
TINOGASTA,TINOGASTA
TRELEW AERO,TRELEW AERO
TRENQUE LAUQUEN,TRENQUE LAUQUEN
TRES ARROYOS,TRES ARROYOS
TUCUMAN AERO,TUCUMAN AERO
USHUAIA AERO,USHUAIA AERO
USPALLATA,USPALLATA
VENADO TUERTO,VENADO TUERTO AERO
VENADO TUERTO AERO,VENADO TUERTO AERO
VICTORICA,VICTORICA
VIEDMA AERO,VIEDMA AERO
VILLA DE MARIA DEL RIO SEC,VILLA DE MARIA DEL RIO SECO
VILLA DOLORES AERO,VILLA DOLORES AERO
VILLA GESELL AERO,VILLA GESELL AERO
VILLA MARIA DEL RIO SECO,VILLA DE MARIA DEL RIO SECO
VILLA REYNOLDS AERO,VILLA REYNOLDS AERO
